Step	Value
12479	1.52017901200452E-06
12481	1.38266591420688E-06
12555	1.2346316680123E-06
12602	1.06451625470072E-06
12649	1.90972582458926E-06
12654	1.55951181568526E-06
12680	1.53235805555596E-06
12709	9.75879629550036E-07
12783	1.10774726636009E-06
12792	1.09217683075258E-06
12848	1.58247144099732E-06
12859	1.01235286820156E-06
12902	1.29173656659987E-06
12906	1.00679039860552E-06
12923	1.1459090956123E-06
12945	1.36084622681665E-06
12973	2.21401910494023E-06
12977	1.99675105250208E-06
12998	1.46953948387818E-06
13011	1.45505816817604E-06
13025	1.69223153534404E-06
13037	1.4104662113823E-06
13038	1.63497747962538E-06
13048	1.33124854073685E-06
13049	1.16453895770974E-06
13089	1.21044229217659E-06
13093	1.03235674941971E-06
13189	1.38519078518584E-06
13211	1.25002134154784E-06
13228	1.26547956824652E-06
13235	1.25587052934861E-06
13251	1.73713010553911E-06
13262	2.13010207517073E-06
13305	1.73441708284372E-06
13350	1.64962682447367E-06
13389	8.44128862809157E-07
13419	1.51008111970441E-06
13456	1.00149395620974E-06
13523	1.1439868785601E-06
13532	1.45267267726013E-06
13533	1.56796045303054E-06
13551	1.19293565603584E-06
13559	1.64318726092461E-06
13577	1.11135068436852E-06
13589	1.32473121539078E-06
13624	1.18788511827006E-06
13643	1.41768191497249E-06
13645	9.8504119705467E-07
13648	1.20115896606876E-06
13661	1.39253575071052E-06
13703	1.35261711875501E-06
13717	9.96844732981117E-07
13737	1.19630817607685E-06
13760	1.37113943310396E-06
13803	1.11058716356638E-06
13832	1.12227075987903E-06
13850	1.26224358609761E-06
13891	9.50706180447014E-07
13917	1.2524244539236E-06
13972	1.91964863915928E-06
13981	1.31881597553729E-06
14007	1.63009769948985E-06
14036	1.28833312373899E-06
14047	9.54181700763002E-07
14103	1.39362737172632E-06
14114	1.71869430687366E-06
14128	1.20022468763636E-06
14141	1.41101099870866E-06
14159	1.41688997246092E-06
14178	1.28414740174776E-06
14189	1.15076034035155E-06
14195	1.24536916246143E-06
14207	1.10297776245716E-06
14218	2.41031898440269E-06
14224	1.56670500928158E-06
14225	1.32975947053637E-06
14259	1.38692610107682E-06
14266	1.69163990904053E-06
14350	9.70992346083222E-07
14355	1.26901477415231E-06
14362	1.54785391259793E-06
14368	1.15958687274542E-06
14400	1.04032119452313E-06
14401	1.00322017715371E-06
14406	1.32611319259013E-06
14420	6.86371720348689E-07
14428	1.02031515325507E-06
14429	1.07366224710859E-06
14495	1.07471032606554E-06
14497	7.91202637628885E-07
14536	1.03539969131816E-06
14537	1.32161437704781E-06
14549	1.18798948278709E-06
14578	1.14712634058378E-06
14624	1.43843840305635E-06
14646	1.04992022897932E-06
14746	8.21921730675967E-07
14761	1.04753644336597E-06
14778	1.05696972241276E-06
14786	1.03395984751842E-06
14820	9.01250075457938E-07
14841	1.07819710137846E-06
14852	9.61916384767392E-07
14865	8.07407730007981E-07
14869	1.05960862128995E-06
14900	9.6715677955217E-07
14905	1.16458636512107E-06
14911	1.66376412380487E-06
14922	1.23139625429758E-06
14926	1.43101203775586E-06
14941	1.24017583402747E-06
14955	1.34403762785951E-06
15020	1.48736830851703E-06
15066	8.95729442618176E-07
15067	8.2990629834967E-07
15071	9.33458181862079E-07
15099	1.49592278830824E-06
15111	9.28404801925353E-07
15121	8.20714717519877E-07
15125	1.2432199127943E-06
15139	1.03600359580014E-06
15154	6.75386331749905E-07
15177	9.26947222978924E-07
15186	1.56254805006029E-06
15200	1.06577590486268E-06
15319	1.78101834080735E-06
15335	1.41266264108708E-06
15349	1.50567882428732E-06
15363	1.47259356708673E-06
15372	1.28057558868022E-06
15401	7.90431840869132E-07
15420	8.97768131835619E-07
15436	1.28537510590832E-06
15442	1.4484206758425E-06
15457	1.35985806082317E-06
15463	1.79220410245762E-06
15491	1.18690149975009E-06
15493	1.89204547496047E-06
